x	y	z (elevasi)	gFA	x parasnis	y parasnis	g Bouger	SBA
769573.5306	9676560.446	1283	130.3	53.78336	130.3	123.701728	6.598272
771431.0975	9676556.42	1423	128.3	59.65216	128.3	137.199968	-8.899968
773277.5641	9676552.39	1515	124	63.5088	124	146.07024	-22.07024
775135.1772	9676548.309	1737	117	72.81504	117	167.474592	-50.474592
776992.8138	9676544.2	1611	108.6	67.53312	108.6	155.326176	-46.726176
778839.3501	9676540.088	1443	100.5	60.49056	100.5	139.128288	-38.628288
780697.0339	9676535.923	1049	96.1	43.97408	96.1	101.140384	-5.040384
782554.7416	9676531.731	1039	97.7	43.55488	97.7	100.176224	-2.476224
784401.3491	9676527.536	1303	106.8	54.62176	106.8	125.630048	-18.830048
786259.105	9676523.289	1455	123.4	60.9936	123.4	140.28528	-16.88528
788116.8852	9676519.014	1483	145.1	62.16736	145.1	142.984928	2.115072
738061.4698	9674777.333	657	109	27.54144	109	63.345312	45.654688
739907.5201	9674773.778	697	109.5	29.21824	109.5	67.201952	42.298048
741764.7116	9674770.174	639	117.8	26.78688	117.8	61.609824	56.190176
743621.9237	9674766.542	785	132.7	32.9072	132.7	75.68656	57.01344
745468.0353	9674762.904	883	152	37.01536	152	85.135328	66.864672
747325.2888	9674759.216	1109	171.6	46.48928	171.6	106.925344	64.674656
749182.5635	9674755.501	1097	188	45.98624	188	105.768352	82.231648
751028.7378	9674751.78	1535	197.6	64.3472	197.6	147.99856	49.60144
752886.0549	9674748.009	1709	198.8	71.64128	198.8	164.774944	34.025056
754743.3935	9674744.21	1841	191.5	77.17472	191.5	177.501856	13.998144
756589.6319	9674740.406	1731	177.4	72.56352	177.4	166.896096	10.503904
758447.014	9674736.552	1457	160	61.07744	160	140.478112	19.521888
760304.4181	9674732.67	1313	142.7	55.04096	142.7	126.594208	16.105792
762150.722	9674728.783	1199	129.1	50.26208	129.1	115.602784	13.497216
764008.1704	9674724.845	1161	121.1	48.66912	121.1	111.938976	9.161024
765865.6414	9674720.88	1207	119	50.59744	119	116.374112	2.625888
767712.0122	9674716.91	1251	121.7	52.44192	121.7	120.616416	1.083584
769569.5284	9674712.889	1267	126.1	53.11264	126.1	122.159072	3.940928
771427.0676	9674708.84	1513	129.6	63.42496	129.6	145.877408	-16.277408
773273.5068	9674704.787	1707	129.3	71.55744	129.3	164.582112	-35.282112
775131.0922	9674700.682	1847	124.4	77.42624	124.4	178.080352	-53.680352
776988.7012	9674696.55	1567	115.3	65.68864	115.3	151.083872	-35.783872
778835.21	9674692.414	1197	104.2	50.17824	104.2	115.409952	-11.209952
780692.8662	9674688.226	961	94.7	40.28512	94.7	92.655776	2.044224
782550.5462	9674684.01	829	89.8	34.75168	89.8	79.928864	9.871136
784397.1262	9674679.792	1023	92.3	42.88416	92.3	98.633568	-6.333568
786254.8544	9674675.52	1305	103.1	54.7056	103.1	125.82288	-22.72288
788112.607	9674671.22	1093	120.7	45.81856	120.7	105.382688	15.317312
738057.9376	9672941.201	615	106.2	25.7808	106.2	59.29584	46.90416
739903.9605	9672937.626	627	105.8	26.28384	105.8	60.452832	45.347168
741761.1243	9672934.002	651	112.9	27.28992	112.9	62.766816	50.133184
743618.3088	9672930.349	751	126.3	31.48192	126.3	72.408416	53.891584
745464.3929	9672926.691	879	143.8	36.84768	143.8	84.749664	59.050336
747321.6189	9672922.982	1177	161.3	49.33984	161.3	113.481632	47.818368
749178.8659	9672919.246	1317	175.5	55.20864	175.5	126.979872	48.520128
751025.0127	9672915.504	1627	182.9	68.20384	182.9	156.868832	26.031168
752882.3022	9672911.712	1687	182	70.71904	182	162.653792	19.346208
754739.6133	9672907.892	1699	173.1	71.22208	173.1	163.810784	9.289216
756585.8242	9672904.067	1495	157.8	62.6704	157.8	144.14192	13.65808
758443.1787	9672900.191	1319	140.2	55.29248	140.2	127.172704	13.027296
760300.5551	9672896.287	1199	123.7	50.26208	123.7	115.602784	8.097216
762146.8315	9672892.378	1141	112.4	47.83072	112.4	110.010656	2.389344
764004.2524	9672888.418	1189	108.1	49.84288	108.1	114.638624	-6.538624
765861.6957	9672884.43	1223	110.9	51.26816	110.9	117.916768	-7.016768
767708.039	9672880.438	1243	119.2	52.10656	119.2	119.845088	-0.645088
769565.5276	9672876.394	1289	129.3	54.03488	129.3	124.280224	5.019776
771423.0392	9672872.322	1573	137.8	65.94016	137.8	151.662368	-13.862368
773269.4509	9672868.247	1859	140.9	77.92928	140.9	179.237344	-38.337344
775127.0087	9672864.119	1995	137	83.6304	137	192.34992	-55.34992
776984.59	9672859.963	1641	126.5	68.79072	126.5	158.218656	-31.718656
778831.0714	9672855.805	1319	111.3	55.29248	111.3	127.172704	-15.872704
780688.6999	9672851.593	1291	95.8	54.11872	95.8	124.473056	-28.673056
782546.3523	9672847.353	1019	83.6	42.71648	83.6	98.247904	-14.647904
784392.9048	9672843.111	771	78.9	32.32032	78.9	74.336736	4.563264
786250.6053	9672838.815	977	83.2	40.95584	83.2	94.198432	-10.998432
788108.3303	9672834.492	1055	96.2	44.2256	96.2	101.71888	-5.51888
738054.364	9671094.008	719	106.7	30.14048	106.7	69.323104	37.376896
